len_title,len_brand,len_material,len_color,len_description
6,3,2,0,98
6,3,2,0,98
12,4,0,2,129
11,1,0,1,78
11,1,0,1,78
12,1,0,0,347
12,1,0,0,347
12,1,0,0,347
10,2,1,0,106
12,2,4,1,58
7,3,1,1,80
16,1,0,0,194
16,1,0,0,194
16,1,0,0,194
13,2,1,1,262
7,1,0,1,68
15,1,0,1,96
10,3,1,0,64
10,3,1,0,64
10,3,1,0,64
10,3,1,0,64
11,2,4,1,75
11,2,4,1,75
11,2,4,1,75
11,2,4,1,75
11,2,4,1,75
11,2,4,1,75
9,2,0,1,135
9,2,0,1,135
12,1,0,0,256
12,1,0,0,256
12,1,0,0,256
6,1,1,1,73
6,1,1,1,73
6,1,1,1,73
15,2,1,1,90
15,2,1,1,90
7,1,0,0,62
12,3,1,1,118
12,3,1,1,118
12,3,1,1,118
12,3,1,1,118
12,3,1,1,118
8,1,0,0,116
9,1,1,1,63
9,1,1,1,63
9,1,1,1,63
15,1,1,0,119
15,1,1,0,119
15,1,1,0,119
15,1,1,0,119
15,1,1,0,119
15,1,1,0,119
15,1,1,0,119
15,1,1,0,119
15,1,1,0,119
3,1,1,0,36
5,1,1,1,62
5,1,1,1,62
5,1,1,1,62
5,1,1,1,62
5,1,1,1,53
11,1,0,1,137
11,1,0,1,137
11,1,1,0,105
11,1,1,0,105
11,1,1,0,105
11,1,1,0,105
14,2,2,1,125
14,2,2,1,125
13,4,1,0,96
9,1,1,1,107
9,1,1,1,107
9,1,1,1,107
9,1,1,1,107
9,1,1,1,107
12,2,1,0,46
12,2,1,0,46
12,2,1,0,46
8,1,0,1,101
11,2,0,0,131
12,2,0,0,87
12,2,0,0,87
12,2,0,0,87
8,1,0,0,55
16,2,1,1,177
16,2,1,1,177
16,2,1,1,177
13,1,0,2,114
13,1,0,2,114
13,1,0,2,114
13,1,0,2,114
13,1,0,2,114
9,2,0,0,78
12,2,0,0,154
12,2,0,0,154
12,2,0,0,154
12,2,0,0,154
12,2,0,0,154
9,2,0,1,54
9,2,0,1,54
9,2,0,1,54
7,1,1,1,50
15,1,1,0,81
15,1,1,0,81
15,1,1,0,81
12,1,0,0,48
12,1,0,0,48
12,1,0,0,48
14,2,1,2,121
12,2,1,1,124
12,2,1,1,124
12,2,1,1,124
12,2,1,1,124
12,2,1,1,124
12,2,1,1,124
12,2,1,1,124
12,2,1,1,124
12,2,1,1,124
12,2,1,1,124
12,2,1,1,124
12,2,1,1,124
12,2,1,1,124
17,1,0,0,232
17,1,0,0,232
17,1,0,0,232
17,1,0,0,232
17,1,0,0,232
17,1,0,0,232
17,1,0,0,232
17,1,0,0,232
17,1,0,0,232
17,1,0,0,232
17,1,0,0,232
8,1,0,2,139
10,1,0,0,61
10,1,0,0,61
10,1,0,0,61
10,1,0,0,61
10,2,2,1,147
10,2,2,1,147
10,2,2,1,147
10,2,2,1,147
13,1,0,1,42
13,1,0,1,42
11,1,0,2,87
16,1,1,1,65
9,2,1,0,81
9,2,1,0,81
13,1,0,1,154
9,1,0,0,175
11,1,1,1,85
11,1,1,1,85
6,1,2,0,57
9,2,1,0,84
15,3,0,2,115
15,3,0,2,115
7,1,0,0,111
19,1,1,0,137
5,1,0,0,64
11,2,0,1,218
11,2,0,1,218
11,2,0,1,218
11,2,0,1,218
11,2,0,1,218
11,2,0,1,218
10,3,0,1,81
10,3,0,1,81
10,3,0,1,81
10,3,0,1,81
10,3,0,1,81
18,1,0,1,201
18,1,0,1,201
18,1,0,1,201
18,1,0,1,201
13,1,0,0,373
13,1,0,0,373
13,1,0,0,373
14,1,0,0,225
14,1,0,0,225
16,2,4,1,86
16,2,4,1,86
16,2,4,1,86
10,2,0,0,143
9,3,1,1,102
10,1,1,1,137
18,3,0,0,55
18,3,0,0,55
15,1,0,0,107
15,1,0,0,107
10,1,0,0,141
10,1,0,0,141
10,1,0,0,141
16,1,0,1,152
16,1,0,1,152
16,1,0,1,152
17,2,0,0,120
8,2,2,1,63
10,1,0,0,137
10,1,0,0,137
7,1,0,0,111
7,1,0,0,111
7,1,0,0,111
7,1,0,0,111
7,1,0,0,111
7,2,0,1,58
7,2,0,1,58
7,2,0,0,98
8,1,0,0,98
3,1,0,0,54
18,1,1,1,97
18,1,1,1,97
12,2,0,1,237
12,2,0,1,237
6,3,7,0,85
6,1,0,0,96
8,1,0,0,73
8,1,0,0,73
10,1,0,1,115
15,3,0,0,160
7,1,0,1,85
7,1,0,1,85
7,1,0,1,85
7,1,0,1,85
11,1,0,1,81
8,1,0,0,43
8,1,1,1,95
8,1,1,1,95
8,1,1,1,95
